Hiders,Seekers,Cells,Obstacles,Max Rounds,Rounds Played,Game Length
6,2,160,66,37,29,Medium
1,2,49,9,12,12,Long
2,2,49,8,11,7,Medium
6,2,160,66,24,19,Long
4,2,160,79,34,23,Medium
1,1,49,0,34,15,Short
4,2,160,79,47,28,Medium
1,1,49,0,39,18,Short
1,2,49,9,46,46,Long
2,2,49,8,42,21,Short
2,2,49,8,38,20,Short
6,2,160,66,47,31,Medium
4,2,160,79,19,13,Medium
6,2,160,66,22,14,Medium
2,2,25,0,22,12,Short
2,2,49,8,22,12,Short
1,2,49,9,26,26,Long
6,2,160,66,18,15,Long
1,2,49,9,24,24,Long
2,2,49,8,27,15,Short
1,1,49,0,20,11,Short
6,2,160,66,41,27,Medium
2,2,49,8,11,7,Medium
1,1,49,0,47,20,Short
6,2,160,66,25,18,Medium
2,2,25,0,36,16,Short
6,2,160,66,20,13,Medium
4,2,160,79,43,33,Medium
1,1,49,0,16,9,Short
4,2,160,79,34,28,Long
2,2,49,8,19,10,Short
1,1,49,0,26,15,Short
4,2,160,79,48,31,Medium
1,1,49,0,35,16,Short
1,1,49,0,49,23,Short
4,2,160,79,15,15,Long
2,2,25,0,33,17,Short
6,2,160,66,15,11,Medium
2,2,49,8,29,16,Short
1,2,49,9,30,30,Long
2,2,49,8,24,13,Short
2,2,49,8,15,11,Medium
1,1,49,0,14,8,Medium
4,2,160,79,15,13,Long
2,2,49,8,21,13,Medium
6,2,160,66,32,24,Medium
1,1,49,0,30,14,Short
6,2,160,66,48,44,Long
6,2,160,66,45,44,Long
1,1,49,0,38,17,Short
1,2,49,9,26,26,Long
1,2,49,9,47,47,Long
4,2,160,79,14,7,Short
6,2,160,66,34,25,Medium
2,2,49,8,49,23,Short
1,2,49,9,49,49,Long
2,2,49,8,23,13,Short
4,2,160,79,21,14,Medium
2,2,25,0,21,11,Short
6,2,160,66,36,28,Medium
1,1,49,0,44,20,Short
4,2,160,79,50,34,Medium
1,1,49,0,21,11,Short
1,1,49,0,11,7,Medium
1,2,49,9,12,12,Long
2,2,25,0,19,10,Short
2,2,25,0,33,15,Short
2,2,49,8,12,7,Medium
1,2,49,9,33,33,Long
1,1,49,0,29,14,Short
4,2,160,79,40,31,Medium
1,2,49,9,12,12,Long
1,2,49,9,43,43,Long
1,1,49,0,38,19,Short
1,1,49,0,10,7,Medium
2,2,49,8,15,11,Medium
2,2,49,8,24,14,Medium
1,2,49,9,18,18,Long
2,2,49,8,49,23,Short
4,2,160,79,20,14,Medium
1,2,49,9,24,24,Long
2,2,49,8,41,18,Short
1,2,49,9,17,17,Long
6,2,160,66,25,25,Long
1,2,49,9,11,11,Long
6,2,160,66,49,45,Long
1,1,49,0,31,14,Short
2,2,49,8,48,23,Short
2,2,49,8,30,16,Short
2,2,49,8,22,13,Medium
2,2,25,0,25,14,Short
4,2,160,79,50,31,Medium
1,1,49,0,41,19,Short
4,2,160,79,15,12,Long
4,2,160,79,32,23,Medium
2,2,25,0,40,22,Short
2,2,25,0,16,12,Medium
6,2,160,66,42,41,Long
1,1,49,0,22,12,Short
4,2,160,79,21,20,Long
1,2,49,9,10,10,Long
4,2,160,79,44,29,Medium
2,2,25,0,44,18,Short
1,2,49,9,33,33,Long
1,1,49,0,49,21,Short
2,2,49,8,14,10,Medium
2,2,25,0,30,15,Short
2,2,49,8,30,16,Short
2,2,25,0,14,6,Short
1,1,49,0,15,9,Medium
1,1,49,0,48,22,Short
6,2,160,66,14,13,Long
2,2,25,0,27,13,Short
2,2,25,0,16,10,Medium
2,2,49,8,40,21,Short
6,2,160,66,16,13,Long
1,1,49,0,50,22,Short
4,2,160,79,25,20,Long
2,2,49,8,43,22,Short
2,2,25,0,40,18,Short
1,1,49,0,32,16,Short
1,2,49,9,36,36,Long
1,2,49,9,38,38,Long
2,2,25,0,25,13,Short
2,2,25,0,35,19,Short
2,2,25,0,28,12,Short
6,2,160,66,50,33,Medium
2,2,25,0,49,28,Short
6,2,160,66,35,35,Long
2,2,25,0,22,11,Short
1,2,49,9,21,21,Long
1,2,49,9,20,20,Long
1,1,49,0,24,13,Short
2,2,49,8,49,23,Short
2,2,25,0,44,20,Short
1,2,49,9,39,39,Long
2,2,49,8,48,23,Short
1,1,49,0,22,11,Short
1,1,49,0,26,13,Short
1,2,49,9,17,17,Long
6,2,160,66,25,24,Long
1,1,49,0,14,8,Medium
6,2,160,66,30,28,Long
1,1,49,0,20,11,Short
1,2,49,9,16,16,Long
1,2,49,9,45,45,Long
2,2,25,0,39,18,Short
1,2,49,9,32,32,Long
1,2,49,9,38,38,Long
1,1,49,0,39,18,Short
2,2,49,8,23,13,Short
2,2,49,8,29,16,Short
6,2,160,66,49,35,Medium
2,2,49,8,17,10,Medium
1,1,49,0,17,10,Medium
2,2,49,8,23,13,Short
1,2,49,9,38,38,Long
4,2,160,79,20,17,Long
4,2,160,79,38,38,Long
1,1,49,0,36,17,Short
1,1,49,0,19,10,Short
6,2,160,66,36,34,Long
1,1,49,0,32,15,Short
2,2,49,8,19,11,Medium
1,2,49,9,37,37,Long
6,2,160,66,12,6,Short
2,2,49,8,44,22,Short
6,2,160,66,48,42,Long
1,1,49,0,14,8,Medium
4,2,160,79,34,20,Medium
2,2,25,0,31,19,Medium
1,1,49,0,25,17,Medium
1,1,49,0,38,17,Short
1,2,49,9,27,27,Long
2,2,25,0,10,6,Medium
2,2,25,0,47,22,Short
1,2,49,9,45,45,Long
2,2,25,0,44,18,Short
6,2,160,66,32,29,Long
4,2,160,79,12,5,Short
2,2,25,0,26,13,Short
1,1,49,0,25,14,Short
2,2,25,0,47,21,Short
2,2,25,0,13,8,Medium
1,2,49,9,41,41,Long
4,2,160,79,38,30,Medium
6,2,160,66,50,40,Long
2,2,25,0,13,7,Short
2,2,49,8,10,6,Medium
1,1,49,0,29,13,Short
4,2,160,79,46,36,Medium
1,2,49,9,27,27,Long
6,2,160,66,25,17,Medium
1,2,49,9,11,11,Long
1,1,49,0,28,14,Short
4,2,160,79,34,34,Long
2,2,25,0,48,21,Short
2,2,25,0,39,16,Short
6,2,160,66,29,27,Long
4,2,160,79,32,22,Medium
4,2,160,79,45,31,Medium
4,2,160,79,47,35,Medium
1,1,49,0,32,14,Short
2,2,49,8,35,20,Short
6,2,160,66,36,26,Medium
2,2,25,0,39,16,Short
1,1,49,0,38,20,Short
6,2,160,66,15,15,Long
4,2,160,79,20,14,Medium
2,2,25,0,49,23,Short
2,2,25,0,37,17,Short
1,2,49,9,16,16,Long
1,1,49,0,11,10,Long
6,2,160,66,19,17,Long
4,2,160,79,29,19,Medium
2,2,25,0,47,19,Short
2,2,49,8,15,11,Medium
1,1,49,0,47,22,Short
4,2,160,79,43,29,Medium
6,2,160,66,47,43,Long
2,2,25,0,10,6,Medium
1,1,49,0,17,17,Long
6,2,160,66,44,24,Short
1,1,49,0,30,15,Short
4,2,160,79,28,16,Short
6,2,160,66,43,36,Long
1,1,49,0,38,18,Short
6,2,160,66,31,20,Medium
1,2,49,9,17,17,Long
4,2,160,79,42,30,Medium
2,2,25,0,33,14,Short
6,2,160,66,37,31,Long
1,2,49,9,21,21,Long
1,1,49,0,23,18,Medium
6,2,160,66,35,24,Medium
6,2,160,66,42,32,Medium
2,2,25,0,29,13,Short
1,1,49,0,49,22,Short
1,2,49,9,38,38,Long
6,2,160,66,42,29,Medium
2,2,25,0,27,11,Short
6,2,160,66,43,43,Long
1,2,49,9,32,32,Long
6,2,160,66,42,37,Long
2,2,25,0,34,15,Short
1,2,49,9,24,24,Long
1,1,49,0,23,11,Short
2,2,49,8,23,14,Medium
2,2,25,0,41,20,Short
1,1,49,0,12,7,Medium
1,2,49,9,22,22,Long
1,1,49,0,44,20,Short
6,2,160,66,19,13,Medium
2,2,25,0,25,11,Short
6,2,160,66,47,24,Short
6,2,160,66,41,28,Medium
1,2,49,9,18,18,Long
2,2,25,0,44,19,Short
2,2,49,8,40,20,Short
4,2,160,79,50,42,Long
2,2,25,0,30,14,Short
2,2,25,0,24,11,Short
4,2,160,79,11,11,Long
6,2,160,66,27,18,Medium
4,2,160,79,23,19,Long
6,2,160,66,37,32,Long
2,2,49,8,13,8,Medium
1,2,49,9,46,46,Long
2,2,49,8,29,17,Medium
1,2,49,9,40,40,Long
6,2,160,66,49,36,Medium
6,2,160,66,35,27,Medium
2,2,49,8,11,8,Medium
2,2,49,8,15,11,Medium
4,2,160,79,28,21,Medium
1,1,49,0,15,9,Medium
4,2,160,79,16,11,Medium
1,1,49,0,25,14,Short
6,2,160,66,33,33,Long
2,2,25,0,32,15,Short
4,2,160,79,30,30,Long
2,2,49,8,20,12,Medium
4,2,160,79,48,30,Medium
1,1,49,0,12,10,Long
2,2,25,0,40,18,Short
4,2,160,79,24,19,Long
2,2,49,8,42,21,Short
1,1,49,0,26,12,Short
1,1,49,0,28,13,Short
1,2,49,9,17,17,Long
2,2,25,0,45,22,Short
4,2,160,79,41,41,Long
4,2,160,79,18,18,Long
1,1,49,0,48,23,Short
6,2,160,66,30,21,Medium
2,2,25,0,38,19,Short
6,2,160,66,49,34,Medium
4,2,160,79,49,40,Long
2,2,25,0,35,16,Short
2,2,25,0,39,16,Short
6,2,160,66,30,21,Medium
6,2,160,66,43,43,Long
1,2,49,9,39,39,Long
1,2,49,9,25,25,Long
1,2,49,9,44,44,Long
4,2,160,79,15,15,Long
1,1,49,0,44,20,Short
1,2,49,9,20,20,Long
2,2,49,8,31,17,Short
2,2,49,8,41,21,Short
6,2,160,66,39,32,Long
1,1,49,0,31,16,Short
6,2,160,66,24,19,Long
2,2,25,0,28,15,Short
2,2,49,8,46,23,Short
2,2,25,0,19,8,Short
1,1,49,0,42,24,Short
6,2,160,66,31,30,Long
2,2,25,0,30,16,Short
1,1,49,0,27,14,Short
1,2,49,9,36,36,Long
1,2,49,9,46,46,Long
1,1,49,0,24,12,Short
4,2,160,79,20,18,Long
4,2,160,79,22,13,Medium
1,1,49,0,32,15,Short
1,1,49,0,26,12,Short
1,2,49,9,21,21,Long
4,2,160,79,16,14,Long
2,2,49,8,16,11,Medium
2,2,25,0,42,20,Short
6,2,160,66,36,31,Long
1,2,49,9,12,12,Long
4,2,160,79,16,16,Long
2,2,25,0,14,8,Medium
6,2,160,66,30,21,Medium
1,2,49,9,45,45,Long
6,2,160,66,11,11,Long
1,2,49,9,17,17,Long
6,2,160,66,43,27,Medium
2,2,49,8,49,23,Short
4,2,160,79,39,27,Medium
1,1,49,0,21,11,Short
2,2,25,0,38,16,Short
1,1,49,0,10,7,Medium
4,2,160,79,21,14,Medium
1,1,49,0,29,13,Short
1,2,49,9,12,12,Long
4,2,160,79,21,14,Medium
2,2,49,8,13,10,Medium
6,2,160,66,23,21,Long
2,2,25,0,14,6,Short
6,2,160,66,25,24,Long
2,2,25,0,40,18,Short
1,1,49,0,24,12,Short
6,2,160,66,22,22,Long
4,2,160,79,29,21,Medium
1,1,49,0,34,16,Short
1,1,49,0,36,18,Short
1,1,49,0,18,10,Short
1,2,49,9,29,29,Long
4,2,160,79,23,23,Long
1,1,49,0,43,19,Short
4,2,160,79,47,36,Medium
2,2,49,8,10,7,Medium
6,2,160,66,45,37,Long
1,2,49,9,48,48,Long
2,2,25,0,40,23,Short
1,2,49,9,32,32,Long
2,2,25,0,22,16,Medium
1,1,49,0,19,9,Short
4,2,160,79,10,10,Long
1,1,49,0,24,13,Short
4,2,160,79,25,20,Long
1,1,49,0,35,17,Short
1,2,49,9,21,21,Long
6,2,160,66,12,6,Short
2,2,25,0,33,14,Short
4,2,160,79,47,40,Long
1,1,49,0,14,6,Short
2,2,25,0,32,14,Short
1,1,49,0,38,18,Short
1,2,49,9,27,27,Long
1,2,49,9,23,23,Long
2,2,49,8,36,22,Medium
2,2,25,0,33,17,Short
2,2,25,0,10,6,Medium
4,2,160,79,23,20,Long
2,2,49,8,10,9,Long
2,2,49,8,16,10,Medium
6,2,160,66,33,31,Long
1,1,49,0,42,19,Short
6,2,160,66,19,13,Medium
2,2,49,8,34,17,Short
2,2,49,8,35,19,Short
6,2,160,66,17,9,Short
2,2,25,0,40,19,Short
2,2,49,8,19,11,Medium
2,2,49,8,15,9,Medium
1,2,49,9,14,14,Long
4,2,160,79,18,17,Long
1,1,49,0,38,21,Short
1,1,49,0,40,19,Short
2,2,25,0,34,15,Short
1,2,49,9,48,48,Long
4,2,160,79,36,36,Long
6,2,160,66,35,24,Medium
1,2,49,9,26,26,Long
2,2,49,8,38,18,Short
1,1,49,0,24,12,Short
2,2,25,0,13,8,Medium
2,2,25,0,45,19,Short
2,2,25,0,26,15,Short
1,2,49,9,22,22,Long
2,2,49,8,27,15,Short
2,2,25,0,49,20,Short
4,2,160,79,27,24,Long
4,2,160,79,26,26,Long
6,2,160,66,21,15,Medium
6,2,160,66,29,28,Long
1,1,49,0,39,18,Short
1,2,49,9,45,45,Long
1,1,49,0,31,15,Short
4,2,160,79,37,27,Medium
1,2,49,9,30,30,Long
2,2,25,0,36,16,Short
2,2,25,0,36,15,Short
6,2,160,66,50,32,Medium
2,2,49,8,11,8,Medium
4,2,160,79,28,25,Long
6,2,160,66,28,24,Long
6,2,160,66,36,29,Long
4,2,160,79,16,16,Long
1,1,49,0,13,12,Long
1,2,49,9,26,26,Long
6,2,160,66,38,32,Long
4,2,160,79,34,34,Long
6,2,160,66,49,38,Medium
4,2,160,79,19,19,Long
1,1,49,0,27,13,Short
1,2,49,9,39,39,Long
6,2,160,66,10,10,Long
2,2,25,0,37,19,Short
2,2,25,0,15,10,Medium
2,2,25,0,21,10,Short
4,2,160,79,28,28,Long
6,2,160,66,23,19,Long
1,2,49,9,15,15,Long
1,2,49,9,43,43,Long
1,1,49,0,11,8,Medium
6,2,160,66,11,10,Long
6,2,160,66,32,30,Long
4,2,160,79,18,18,Long
2,2,49,8,37,18,Short
1,2,49,9,31,31,Long
1,1,49,0,48,22,Short
6,2,160,66,38,34,Long
2,2,25,0,37,16,Short
4,2,160,79,43,34,Medium
1,2,49,9,43,43,Long
2,2,49,8,41,20,Short
4,2,160,79,36,36,Long
6,2,160,66,35,18,Short
2,2,49,8,50,26,Short
2,2,49,8,39,20,Short
4,2,160,79,40,40,Long
1,1,49,0,21,11,Short
2,2,25,0,43,20,Short
4,2,160,79,47,43,Long
2,2,49,8,38,21,Short
6,2,160,66,11,6,Short
6,2,160,66,11,6,Short
