Hiders,Seekers,Cells,Obstacles,Lying Probability,Max Rounds,Rounds Played,Agents Lied
4,2,160,79,0.5903951745611777,36,25,false
1,1,49,0,0.3043542711137589,17,9,false
1,2,49,9,0.3268625059572031,48,48,false
2,2,49,8,0.7942597258420766,14,9,false
2,2,49,8,0.00194958539206469,13,8,false
2,2,49,8,0.9520880992718431,30,16,true
1,2,49,9,0.19857078608165324,21,21,false
1,1,49,0,0.9074900685165609,49,22,false
1,1,49,0,0.7261613175033129,24,13,false
1,1,49,0,0.6822257264722141,31,15,false
1,2,49,9,0.8322211439576216,41,41,false
1,1,49,0,0.668623416794546,15,9,false
2,2,49,8,0.15890492413806723,30,16,false
6,2,160,66,0.07865910006648025,20,19,false
4,2,160,79,0.4802079605633207,43,23,true
1,1,49,0,0.5579177897992676,10,10,false
1,1,49,0,0.573578712352722,15,9,false
1,1,49,0,0.012632429223279007,33,15,false
6,2,160,66,0.9998480978928106,35,16,true
4,2,160,79,0.1826883396048421,14,6,false
1,2,49,9,0.9870223959955448,12,12,false
2,2,25,0,0.3408111508299636,19,10,false
1,2,49,9,0.15117657601002854,29,29,false
4,2,160,79,0.3303246123629665,13,11,true
2,2,49,8,0.9959005367532631,43,22,false
1,2,49,9,0.5793782677010114,50,50,false
4,2,160,79,0.8102116836177009,14,9,true
1,1,49,0,0.5382515584005867,31,19,false
1,1,49,0,0.5382913452936878,36,21,false
4,2,160,79,0.08008045355731641,36,36,true
2,2,25,0,0.297759742429208,21,12,false
1,2,49,9,0.7824004182670001,39,39,true
1,1,49,0,0.8316096211814038,21,10,false
4,2,160,79,0.7564386341540412,18,16,false
4,2,160,79,0.3150180082439389,28,25,true
1,1,49,0,0.041134542572605404,39,18,false
2,2,49,8,0.6139775736542626,22,12,false
2,2,25,0,0.21265962379193515,33,15,false
4,2,160,79,0.9198096159865947,13,11,false
1,2,49,9,0.8101295624595246,18,18,false
1,2,49,9,0.941070749715626,48,48,false
2,2,49,8,0.6235409806343565,12,6,false
6,2,160,66,0.18354489282259834,27,16,false
2,2,49,8,0.32602727702148937,39,19,false
6,2,160,66,0.0682594272557725,40,33,false
4,2,160,79,0.37407658146405487,47,28,false
6,2,160,66,0.5080506477806217,36,28,true
4,2,160,79,0.6505853662697548,42,42,true
2,2,25,0,0.6330264250002303,45,22,true
2,2,25,0,0.10350282866102223,35,15,false
4,2,160,79,0.5704495329934244,34,34,true
2,2,25,0,0.1738646966998375,34,17,false
1,1,49,0,0.9691826096600344,46,21,false
1,1,49,0,0.3079556487203665,17,9,false
1,1,49,0,0.8475783926530049,15,9,false
2,2,25,0,0.8463266389864186,34,15,false
2,2,25,0,0.6981246351461039,33,14,false
1,2,49,9,0.49428766280339453,45,45,false
1,1,49,0,0.4930288027335933,40,19,false
1,1,49,0,0.237855397196146,45,21,false
2,2,49,8,0.6321934078026729,17,9,false
1,1,49,0,0.5916298933443501,24,12,false
2,2,49,8,0.2734314655320603,26,15,false
1,2,49,9,0.12160071568048803,38,38,false
1,1,49,0,0.4580390598436742,33,16,false
1,1,49,0,0.3892268309483795,15,10,false
1,1,49,0,0.06031710942972446,33,16,false
1,2,49,9,0.6484050409343659,33,33,false
1,2,49,9,0.2362826572941059,27,27,false
2,2,49,8,0.33325385867728363,44,21,false
2,2,25,0,0.031352009278196036,29,12,false
2,2,49,8,0.6709116947859237,41,22,true
6,2,160,66,0.5868079974975068,20,15,true
2,2,25,0,0.8560233460832508,50,21,false
6,2,160,66,0.061783960617953104,39,25,false
2,2,25,0,0.04130858116470992,12,9,false
1,2,49,9,0.2277023574191399,15,15,false
4,2,160,79,0.7149914639354832,28,19,false
4,2,160,79,0.45764076369581486,46,30,false
2,2,49,8,0.8443536649641754,27,14,false
6,2,160,66,0.2679948598605484,34,17,true
4,2,160,79,0.44532558246370146,44,36,false
2,2,25,0,0.8008815284835065,23,13,false
4,2,160,79,0.7061221458666196,43,43,true
2,2,49,8,0.5610716007203581,43,21,false
6,2,160,66,0.4469537406283044,49,43,false
1,1,49,0,0.3034120180236768,11,7,false
6,2,160,66,0.02329909072945513,36,29,false
1,1,49,0,0.35418428509071587,45,21,false
2,2,25,0,0.2122629857098628,25,13,false
4,2,160,79,0.9354076301194683,23,19,true
6,2,160,66,0.1890972977815063,29,26,false
2,2,49,8,0.15080856167564405,23,20,false
1,2,49,9,0.2621958697868253,20,20,false
2,2,49,8,0.3037932537726399,41,20,true
2,2,49,8,0.3571470624661206,26,14,false
1,2,49,9,0.22198244863117145,48,48,false
4,2,160,79,0.39453412180620473,20,20,false
2,2,25,0,0.3801805085453801,14,9,false
6,2,160,66,0.1237834012269513,34,31,false
1,1,49,0,0.6441039283709885,31,14,false
2,2,25,0,0.2983947802217195,50,22,false
2,2,49,8,0.480429441087191,36,19,true
2,2,49,8,0.23480213511914294,23,13,false
2,2,25,0,0.6146478068000768,25,13,false
6,2,160,66,0.396246653300507,46,41,true
4,2,160,79,0.2368849312304756,38,26,true
6,2,160,66,0.34147092875961294,33,33,false
4,2,160,79,0.45660268244487523,48,48,true
2,2,49,8,0.007921364440532819,36,17,false
2,2,25,0,0.30601400321982075,22,12,false
6,2,160,66,0.0024746192721558646,36,30,false
1,2,49,9,0.9358155252582252,24,24,true
1,2,49,9,0.8258923273885714,21,21,true
4,2,160,79,0.5326703994727988,41,39,true
4,2,160,79,0.4044916107438332,45,30,true
2,2,49,8,0.07456087712671955,19,14,false
6,2,160,66,0.6218729388241363,37,20,true
4,2,160,79,0.9798200310779366,17,13,false
